,candidato,alias,seguido_Por,siguiendo_A,Antiguedad_años,meses
0,Jorge Muñoz,JorgeMunozAP,20139,451,8,2
1,Jaime E Salinas,jaimesalinas80,4568,39,6,7
2,Julio Gagó Pérez,JulioGagoPe,22072,1519,8,10
3,Enrique Cornejo,ENRIQUECORNEJOR,39373,1472,8,1
4,Enrique Fernández Chacón,EnriquePorLima,74,195,0,2
5,Ditel Columbus,DitelColumbus,16047,1080,3,5
6,Gustavo Guerra,GGG_pe,13513,534,7,8
7,Juan Carlos Zurek,juancarloszurek,1745,433,8,10
8,Alberto Beingolea,BeingoleaA,19941,402,4,11
9,Ricardo Belmont C.,RicardoBelmontC,5604,150,8,2
10,Enrique Ocrospoma,kikeocrospoma,2944,546,8,5
11,Renzo Reggiardo,Renzo_Reggiardo,33396,192,7,10
12,Jorge Villacorta,mikausape,188,741,0,3
13,Daniel Urresti,DanielUrresti1,353536,386,4,5
14,Humberto Lay Sun,humberto_lay,18257,144,7,0
15,Manuel Velarde,ManuelVelardeD,8474,190,2,11
16,Luis Castañeda Pardo,luchocastanedap,6865,633,7,8
17,Jose Luis Gil,JoseLuisGil1000,6293,4636,1,11
18,La Capuñay,EstherCapunay,8014,711,6,11
19,Roberto Gómez Baca,GomezBacaxLima,1049,122,2,7
